order_id,customer_id,product_id,order_date,quantity,unit_price,order_total,status
1001,C001,P001,2026-08-20,2,25.00,50.00,completed
1002,C002,P002,2026-08-20,1,120.00,120.00,completed
1003,C003,P003,2026-08-21,3,15.00,45.00,completed
1004,C001,P004,2026-08-21,2,80.00,160.00,completed
1005,C004,P001,2026-08-22,1,25.00,25.00,completed
1006,C005,P005,2026-08-22,4,30.00,120.00,completed
1007,C006,P002,2026-08-23,1,120.00,120.00,completed
1008,C002,P003,2026-08-23,2,15.00,30.00,completed
1009,C007,P004,2026-08-24,1,80.00,80.00,completed
1010,C008,P005,2026-08-24,3,30.00,90.00,completed
1011,C009,P001,2026-08-25,2,25.00,50.00,completed
1012,C010,P002,2026-08-25,1,120.00,120.00,completed
1013,C003,P003,2026-08-26,5,15.00,75.00,completed
1014,C004,P004,2026-08-26,2,80.00,160.00,completed
1015,C005,P005,2026-08-27,1,30.00,300.00,completed
1016,C006,P001,2026-08-27,4,25.00,100.00,completed
1017,C007,P002,2026-08-28,1,120.00,120.00,completed
1018,C008,P003,2026-08-28,2,15.00,30.00,completed
1019,C009,P004,2026-08-29,1,80.00,80.00,completed
1020,C010,P005,2026-08-29,3,30.00,90.00,completed
